lat,long,name
38.441074,-121.23735,Teichert-1
38.443746,-121.22808,Teichert-2
38.44352,-121.22787,Teichert-3
38.44674,-121.22238,Teichert-4/UCD26
38.44966142,-121.227013,Tiechert-5/UCD25
38.45245117,-121.23201,Teichert-6
38.47975283,-121.2010751,Rooney-1
38.479394,-121.197789,Rooney-2
38.348707,-121.328393,UCD8
38.326232,-121.319066,UCD5
38.494423,-121.210757,UCD21
38.379167,-121.319444,MWDR1
38.392778,-121.297778,MWDC1
38.415,-121.323889,DWR1
38.4341,-121.2687,DWR2
38.4453,-121.4628,DWR3
38.4462,-121.2038,DWR4
38.5047,-121.3636,DWR5
38.309652,-121.375815,MW5
38.305046,-121.381409,MW9
38.304879,-121.368612,MW11
38.296695,-121.379361,MW19
38.291829,-121.391339,MW22
38.355925,-121.223143,GR
38.471005,-121.27858,PW1
38.508114,-121.327974,PW2
38.492997,-121.178785,PW3/UCD19
38.502418,-121.222591,PW4/UCD20
38.357099,-121.415345,PW5
38.392438,-121.429123,PW6
38.450068,-121.350874,PW7
38.511103,-121.437954,PW8
38.451282,-121.380356,PW9
38.412609,-121.362781,PW10
